Title,Authors,PDF URL,Abstract URL
Trade-offs and Guarantees of Adversarial Representation Learning for Information Obfuscation,"Han Zhao
Jianfeng Chi
Yuan Tian
Geoffrey J. Gordon",https://proceedings.neurips.cc/paper/2020/file/6b8b8e3bd6ad94b985c1b1f1b7a94cb2-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/6b8b8e3bd6ad94b985c1b1f1b7a94cb2-Abstract.html
Model-based Adversarial Meta-Reinforcement Learning,"Zichuan Lin
Garrett Thomas
Guangwen Yang
Tengyu Ma",https://proceedings.neurips.cc/paper/2020/file/73634c1dcbe056c1f7dcf5969da406c8-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/73634c1dcbe056c1f7dcf5969da406c8-Abstract.html
GreedyFool: Distortion-Aware Sparse Adversarial Attack,"Xiaoyi Dong
Dongdong Chen
Jianmin Bao
Chuan Qin
Lu Yuan
Weiming Zhang
Nenghai Yu
Dong Chen",https://proceedings.neurips.cc/paper/2020/file/8169e05e2a0debcb15458f2cc1eff0ea-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/8169e05e2a0debcb15458f2cc1eff0ea-Abstract.html
Adversarial robustness via robust low rank representations,"Pranjal Awasthi
Himanshu Jain
Ankit Singh Rawat
Aravindan Vijayaraghavan",https://proceedings.neurips.cc/paper/2020/file/837a7924b8c0aa866e41b2721f66135c-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/837a7924b8c0aa866e41b2721f66135c-Abstract.html
On the Trade-off between Adversarial and Backdoor Robustness,"Cheng-Hsin Weng
Yan-Ting Lee
Shan-Hung (Brandon) Wu",https://proceedings.neurips.cc/paper/2020/file/8b4066554730ddfaa0266346bdc1b202-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/8b4066554730ddfaa0266346bdc1b202-Abstract.html
Few-Cost Salient Object Detection with Adversarial-Paced Learning,"Dingwen Zhang
HaiBin Tian
Jungong Han",https://proceedings.neurips.cc/paper/2020/file/8fc687aa152e8199fe9e73304d407bca-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/8fc687aa152e8199fe9e73304d407bca-Abstract.html
Adversarial Soft Advantage Fitting: Imitation Learning without Policy Optimization,"Paul Barde
Julien Roy
Wonseok Jeon
Joelle Pineau
Chris Pal
Derek Nowrouzezahrai",https://proceedings.neurips.cc/paper/2020/file/9161ab7a1b61012c4c303f10b4c16b2c-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/9161ab7a1b61012c4c303f10b4c16b2c-Abstract.html
Adversarially-learned Inference via an Ensemble of Discrete Undirected Graphical Models,"Adarsh K Jeewajee
Leslie Kaelbling",https://proceedings.neurips.cc/paper/2020/file/95424358822e753eb993c97ee76a9076-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/95424358822e753eb993c97ee76a9076-Abstract.html
Practical No-box Adversarial Attacks against DNNs,"Qizhang Li
Yiwen Guo
Hao Chen",https://proceedings.neurips.cc/paper/2020/file/96e07156db854ca7b00b5df21716b0c6-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/96e07156db854ca7b00b5df21716b0c6-Abstract.html
Adversarial Counterfactual Learning and Evaluation for Recommender System,"Da Xu
Chuanwei Ruan
Evren Korpeoglu
Sushant Kumar
Kannan Achan",https://proceedings.neurips.cc/paper/2020/file/9cd013fe250ebffc853b386569ab18c0-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/9cd013fe250ebffc853b386569ab18c0-Abstract.html
Fast Adversarial Robustness Certification of Nearest Prototype Classifiers for Arbitrary Seminorms,"Sascha Saralajew
Lars Holdijk
Thomas Villmann",https://proceedings.neurips.cc/paper/2020/file/9da187a7a191431db943a9a5a6fec6f4-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/9da187a7a191431db943a9a5a6fec6f4-Abstract.html
Adversarial Attacks on Linear Contextual Bandits,"Evrard Garcelon
Baptiste Roziere
Laurent Meunier
Jean Tarbouriech
Olivier Teytaud
Alessandro Lazaric
Matteo Pirotta",https://proceedings.neurips.cc/paper/2020/file/a554f89dd61cabd2ff833d3468e2008a-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/a554f89dd61cabd2ff833d3468e2008a-Abstract.html
Maximum-Entropy Adversarial Data Augmentation for Improved Generalization and Robustness,"Long Zhao
Ting Liu
Xi Peng
Dimitris Metaxas",https://proceedings.neurips.cc/paper/2020/file/a5bfc9e07964f8dddeb95fc584cd965d-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/a5bfc9e07964f8dddeb95fc584cd965d-Abstract.html
Reducing Adversarially Robust Learning to Non-Robust PAC Learning,"Omar Montasser
Steve Hanneke
Nati Srebro",https://proceedings.neurips.cc/paper/2020/file/a822554e5403b1d370db84cfbc530503-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/a822554e5403b1d370db84cfbc530503-Abstract.html
Efficient Generation of Structured Objects with Constrained Adversarial Networks,"Luca Di Liello
Pierfrancesco Ardino
Jacopo Gobbi
Paolo Morettin
Stefano Teso
Andrea Passerini",https://proceedings.neurips.cc/paper/2020/file/a87c11b9100c608b7f8e98cfa316ff7b-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/a87c11b9100c608b7f8e98cfa316ff7b-Abstract.html
A Single Recipe for Online Submodular Maximization with Adversarial or Stochastic Constraints,"Omid Sadeghi
Prasanna Raut
Maryam Fazel",https://proceedings.neurips.cc/paper/2020/file/a8e5a72192378802318bf51063153729-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/a8e5a72192378802318bf51063153729-Abstract.html
Adversarial Training is a Form of Data-dependent Operator Norm Regularization,"Kevin Roth
Yannic Kilcher
Thomas Hofmann",https://proceedings.neurips.cc/paper/2020/file/ab7314887865c4265e896c6e209d1cd6-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ab7314887865c4265e896c6e209d1cd6-Abstract.html
Upper Confidence Primal-Dual Reinforcement Learning for CMDP with Adversarial Loss,"Shuang Qiu
Xiaohan Wei
Zhuoran Yang
Jieping Ye
Zhaoran Wang",https://proceedings.neurips.cc/paper/2020/file/ae95296e27d7f695f891cd26b4f37078-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ae95296e27d7f695f891cd26b4f37078-Abstract.html
Bias no more: high-probability data-dependent regret bounds for adversarial bandits and MDPs,"Chung-Wei Lee
Haipeng Luo
Chen-Yu Wei
Mengxiao Zhang",https://proceedings.neurips.cc/paper/2020/file/b2ea5e977c5fc1ccfa74171a9723dd61-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/b2ea5e977c5fc1ccfa74171a9723dd61-Abstract.html
Beyond Perturbations: Learning Guarantees with Arbitrary Adversarial Test Examples,"Shafi Goldwasser
Adam Tauman Kalai
Yael Kalai
Omar Montasser",https://proceedings.neurips.cc/paper/2020/file/b6c8cf4c587f2ead0c08955ee6e2502b-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/b6c8cf4c587f2ead0c08955ee6e2502b-Abstract.html
AdvFlow: Inconspicuous Black-box Adversarial Attacks using Normalizing Flows,"Hadi Mohaghegh Dolatabadi
Sarah Erfani
Christopher Leckie",https://proceedings.neurips.cc/paper/2020/file/b6cf334c22c8f4ce8eb920bb7b512ed0-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/b6cf334c22c8f4ce8eb920bb7b512ed0-Abstract.html
Understanding and Improving Fast Adversarial Training,"Maksym Andriushchenko
Nicolas Flammarion",https://proceedings.neurips.cc/paper/2020/file/b8ce47761ed7b3b6f48b583350b7f9e4-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/b8ce47761ed7b3b6f48b583350b7f9e4-Abstract.html
Certifiably Adversarially Robust Detection of Out-of-Distribution Data,"Julian Bitterwolf
Alexander Meinke
Matthias Hein",https://proceedings.neurips.cc/paper/2020/file/b90c46963248e6d7aab1e0f429743ca0-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/b90c46963248e6d7aab1e0f429743ca0-Abstract.html
An Efficient Adversarial Attack for Tree Ensembles,"Chong Zhang
Huan Zhang
Cho-Jui Hsieh",https://proceedings.neurips.cc/paper/2020/file/ba3e9b6a519cfddc560b5d53210df1bd-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ba3e9b6a519cfddc560b5d53210df1bd-Abstract.html
Robust Pre-Training by Adversarial Contrastive Learning,"Ziyu Jiang
Tianlong Chen
Ting Chen
Zhangyang Wang",https://proceedings.neurips.cc/paper/2020/file/ba7e36c43aff315c00ec2b8625e3b719-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ba7e36c43aff315c00ec2b8625e3b719-Abstract.html
Simultaneously Learning Stochastic and Adversarial Episodic MDPs with Known Transition,"Tiancheng Jin
Haipeng Luo",https://proceedings.neurips.cc/paper/2020/file/c0f971d8cd24364f2029fcb9ac7b71f5-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/c0f971d8cd24364f2029fcb9ac7b71f5-Abstract.html
Contrastive Learning with Adversarial Examples,"Chih-Hui Ho
Nuno Nvasconcelos",https://proceedings.neurips.cc/paper/2020/file/c68c9c8258ea7d85472dd6fd0015f047-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/c68c9c8258ea7d85472dd6fd0015f047-Abstract.html
Adversarial Sparse Transformer for Time Series Forecasting,"Sifan Wu
Xi Xiao
Qianggang Ding
Peilin Zhao
Ying Wei
Junzhou Huang",https://proceedings.neurips.cc/paper/2020/file/c6b8c8d762da15fa8dbbdfb6baf9e260-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/c6b8c8d762da15fa8dbbdfb6baf9e260-Abstract.html
Adversarially Robust Few-Shot Learning: A Meta-Learning Approach,"Micah Goldblum
Liam Fowl
Tom Goldstein",https://proceedings.neurips.cc/paper/2020/file/cfee398643cbc3dc5eefc89334cacdc1-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/cfee398643cbc3dc5eefc89334cacdc1-Abstract.html
Non-Convex SGD Learns Halfspaces with Adversarial Label Noise,"Ilias Diakonikolas
Vasilis Kontonis
Christos Tzamos
Nikos Zarifis",https://proceedings.neurips.cc/paper/2020/file/d785bf9067f8af9e078b93cf26de2b54-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/d785bf9067f8af9e078b93cf26de2b54-Abstract.html
Variational Inference for Graph Convolutional Networks in the Absence of Graph Data and Adversarial Settings,"Pantelis Elinas
Edwin V. Bonilla
Louis Tiao",https://proceedings.neurips.cc/paper/2020/file/d882050bb9eeba930974f596931be527-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/d882050bb9eeba930974f596931be527-Abstract.html
HYDRA: Pruning Adversarially Robust Neural Networks,"Vikash Sehwag
Shiqi Wang
Prateek Mittal
Suman Jana",https://proceedings.neurips.cc/paper/2020/file/e3a72c791a69f87b05ea7742e04430ed-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/e3a72c791a69f87b05ea7742e04430ed-Abstract.html
Adversarial Bandits with Corruptions: Regret Lower Bound and No-regret Algorithm,"lin yang
Mohammad Hajiesmaili
Mohammad Sadegh Talebi
John C. S. Lui
Wing Shing Wong",https://proceedings.neurips.cc/paper/2020/file/e655c7716a4b3ea67f48c6322fc42ed6-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/e655c7716a4b3ea67f48c6322fc42ed6-Abstract.html
Guided Adversarial Attack for Evaluating and Enhancing Adversarial Defenses,"Gaurang Sriramanan
Sravanti Addepalli
Arya Baburaj
Venkatesh Babu R",https://proceedings.neurips.cc/paper/2020/file/ea3ed20b6b101a09085ef09c97da1597-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ea3ed20b6b101a09085ef09c97da1597-Abstract.html
The Complexity of Adversarially Robust Proper Learning of Halfspaces with Agnostic Noise,"Ilias Diakonikolas
Daniel M. Kane
Pasin Manurangsi",https://proceedings.neurips.cc/paper/2020/file/ebd64e2bf193fc8c658af2b91952ce8d-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ebd64e2bf193fc8c658af2b91952ce8d-Abstract.html
Adversarial Style Mining for One-Shot Unsupervised Domain Adaptation,"Yawei Luo
Ping Liu
Tao Guan
Junqing Yu
Yi Yang",https://proceedings.neurips.cc/paper/2020/file/ed265bc903a5a097f61d3ec064d96d2e-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ed265bc903a5a097f61d3ec064d96d2e-Abstract.html
Adversarial Attacks on Deep Graph Matching,"Zijie Zhang
Zeru Zhang
Yang Zhou
Yelong Shen
Ruoming Jin
Dejing Dou",https://proceedings.neurips.cc/paper/2020/file/ef126722e64e98d1c33933783e52eafc-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/ef126722e64e98d1c33933783e52eafc-Abstract.html
Robust Deep Reinforcement Learning against Adversarial Perturbations on State Observations,"Huan Zhang
Hongge Chen
Chaowei Xiao
Bo Li
mingyan liu
Duane Boning
Cho-Jui Hsieh",https://proceedings.neurips.cc/paper/2020/file/f0eb6568ea114ba6e293f903c34d7488-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/f0eb6568ea114ba6e293f903c34d7488-Abstract.html
On the Loss Landscape of Adversarial Training: Identifying Challenges and How to Overcome Them,"Chen Liu
Mathieu Salzmann
Tao Lin
Ryota Tomioka
Sabine Süsstrunk",https://proceedings.neurips.cc/paper/2020/file/f56d8183992b6c54c92c16a8519a6e2b-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/f56d8183992b6c54c92c16a8519a6e2b-Abstract.html
Adversarial Crowdsourcing Through Robust Rank-One Matrix Completion,"Qianqian Ma
Alex Olshevsky",https://proceedings.neurips.cc/paper/2020/file/f86890095c957e9b949d11d15f0d0cd5-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/f86890095c957e9b949d11d15f0d0cd5-Abstract.html
On the Stability and Convergence of Robust Adversarial Reinforcement Learning: A Case Study on Linear Quadratic Systems,"Kaiqing Zhang
Bin Hu
Tamer Basar",https://proceedings.neurips.cc/paper/2020/file/fb2e203234df6dee15934e448ee88971-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/fb2e203234df6dee15934e448ee88971-Abstract.html
