PDF,Accepted as,Title,Authors,Keywords
https://openreview.net/pdf?id=SJgwzCEKwH,poster,Bridging Mode Connectivity in Loss Landscapes and Adversarial Robustness,"Pu Zhao
Pin-Yu Chen
Payel Das
Karthikeyan Natesan Ramamurthy
Xue Lin",mode connectivity;  adversarial robustness;  backdoor attack;  error-injection attack;  evasion attacks;  loss landscapes
https://openreview.net/pdf?id=SklTQCNtvS,poster,Sign-OPT: A Query-Efficient Hard-label Adversarial Attack,"Minhao Cheng
Simranjit Singh
Patrick H. Chen
Pin-Yu Chen
Sijia Liu
Cho-Jui Hsieh",
https://openreview.net/pdf?id=BJx040EFvH,poster,Fast is better than free: Revisiting adversarial training,"Eric Wong
Leslie Rice
J. Zico Kolter",adversarial examples;  adversarial training;  fast gradient sign method
https://openreview.net/pdf?id=ryxz8CVYDH,poster,Learning to Learn by Zeroth-Order Oracle,"Yangjun Ruan
Yuanhao Xiong
Sashank Reddi
Sanjiv Kumar
Cho-Jui Hsieh",learning to learn;  zeroth-order optimization;  black-box adversarial attack
https://openreview.net/pdf?id=B1guLAVFDB,poster,Span Recovery for Deep Neural Networks with Applications to Input Obfuscation,"Rajesh Jayaram
David P. Woodruff
Qiuyi Zhang",Span recovery;  low rank neural networks;  adversarial attack
https://openreview.net/pdf?id=r1lF_CEYwS,poster,On the Need for Topology-Aware Generative Models for Manifold-Based Defenses,"Uyeong Jang
Susmit Jha
Somesh Jha",Manifold-based Defense;  Robust Learning;  Adversarial Attacks
https://openreview.net/pdf?id=HyxJhCEFDS,poster,Intriguing Properties of Adversarial Training at Scale,"Cihang Xie
Alan Yuille",adversarial defense;  adversarial machine learning
https://openreview.net/pdf?id=r1xGnA4Kvr,poster,Biologically inspired sleep algorithm for increased generalization and adversarial robustness in deep neural networks,"Timothy Tadros
Giri Krishnan
Ramyaa Ramyaa
Maxim Bazhenov",Adversarial Robustness;  Generalization;  Neural Computing;  Deep Learning
https://openreview.net/pdf?id=Skxuk1rFwB,poster,Towards Stable and Efficient Training of Verifiably Robust Neural Networks,"Huan Zhang
Hongge Chen
Chaowei Xiao
Sven Gowal
Robert Stanforth
Bo Li
Duane Boning
Cho-Jui Hsieh",Robust Neural Networks;  Verifiable Training;  Certified Adversarial Defense
https://openreview.net/pdf?id=rJgzzJHtDB,poster,"Triple Wins: Boosting Accuracy, Robustness and Efficiency Together by Enabling Input-Adaptive Inference","Ting-Kuei Hu
Tianlong Chen
Haotao Wang
Zhangyang Wang",adversarial robustness;  efficient inference
https://openreview.net/pdf?id=Hke0V1rKPS,poster,Jacobian Adversarially Regularized Networks for Robustness,"Alvin Chan
Yi Tay
Yew Soon Ong
Jie Fu",adversarial examples;  robust machine learning;  deep learning
https://openreview.net/pdf?id=HyeaSkrYPH,poster,Certified Defenses for Adversarial Patches,"Ping-yeh Chiang*
Renkun Ni*
Ahmed Abdelkader
Chen Zhu
Christoph Studor
Tom Goldstein",certified defenses;  patch attack;  adversarial robustness;  sparse defense
https://openreview.net/pdf?id=B1gX8kBtPr,poster,Universal Approximation with Certified Networks,"Maximilian Baader
Matthew Mirman
Martin Vechev",adversarial robustness;  universal approximation;  certified network;  interval bound propagation
https://openreview.net/pdf?id=SJlHwkBYDH,poster,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,"Jiadong Lin
Chuanbiao Song
Kun He
Liwei Wang
John E. Hopcroft",adversarial examples;  adversarial attack;  transferability;  Nesterov accelerated gradient;  scale invariance
https://openreview.net/pdf?id=rklk_ySYPB,poster,Provable robustness against all adversarial l p -perturbations for p ≥ 1,"Francesco Croce
Matthias Hein",adversarial robustness;  provable guarantees
https://openreview.net/pdf?id=HJem3yHKwH,poster,EMPIR: Ensembles of Mixed Precision Deep Networks for Increased Robustness Against Adversarial Attacks,"Sanchari Sen
Balaraman Ravindran
Anand Raghunathan",ensembles;  mixed precision;  robustness;  adversarial attacks
https://openreview.net/pdf?id=SylL0krYPS,poster,Toward Evaluating Robustness of Deep Reinforcement Learning with Continuous Control,"Tsui-Wei Weng
Krishnamurthy (Dj) Dvijotham*
Jonathan Uesato*
Kai Xiao*
Sven Gowal*
Robert Stanforth*
Pushmeet Kohli",deep learning;  reinforcement learning;  robustness;  adversarial examples
https://openreview.net/pdf?id=HkeryxBtPB,poster,MMA Training: Direct Input Space Margin Maximization through Adversarial Training,"Gavin Weiguang Ding
Yash Sharma
Kry Yik Chau Lui
Ruitong Huang",adversarial robustness;  perturbation;  margin maximization;  deep learning
https://openreview.net/pdf?id=r1lPleBFvH,poster,Understanding the Limitations of Conditional Generative Models,"Ethan Fetaya
Joern-Henrik Jacobsen
Will Grathwohl
Richard Zemel",Conditional Generative Models;  Generative Classifiers;  Robustness;  Adversarial Examples
https://openreview.net/pdf?id=Hkem-lrtvH,poster,BayesOpt Adversarial Attack,"Binxin Ru
Adam Cobb
Arno Blaas
Yarin Gal",Black-box Adversarial Attack;  Bayesian Optimisation;  Gaussian Process
https://openreview.net/pdf?id=Sye_OgHFwH,poster,Unrestricted Adversarial Examples via Semantic Manipulation,"Anand Bhattad
Min Jin Chong
Kaizhao Liang
Bo Li
D. A. Forsyth",Adversarial Examples;  Semantic Manipulation;  Image Colorization;  Texture Transfer
https://openreview.net/pdf?id=HJxdTxHYvB,poster,BREAKING CERTIFIED DEFENSES: SEMANTIC ADVERSARIAL EXAMPLES WITH SPOOFED ROBUSTNESS CERTIFICATES,"Amin Ghiasi
Ali Shafahi
Tom Goldstein",
https://openreview.net/pdf?id=Skxd6gSYDS,poster,Query-efficient Meta Attack to Deep Neural Networks,"Jiawei Du
Hu Zhang
Joey Tianyi Zhou
Yi Yang
Jiashi Feng",Adversarial attack;  Meta learning
