Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,"

Yang You
, 
Jing Li
, 
Sashank Reddi
, 
Jonathan Hseu
, 
Sanjiv Kumar
, 
Srinadh Bhojanapalli
, 
Xiaodan Song
, 
James Demmel
, 
Kurt Keutzer
, 
Cho-Jui Hsieh

","large-batch optimization
distributed training
fast optimizer",A fast optimizer for general applications and large-batch training.
Learning Expensive Coordination: An Event-Based Deep RL Approach,"

Zhenyu Shi*
, 
Runsheng Yu*
, 
Xinrun Wang*
, 
Rundong Wang
, 
Youzhi Zhang
, 
Hanjiang Lai
, 
Bo An

","Multi-Agent Deep Reinforcement Learning
Deep Reinforcement Learning
Leader–Follower Markov Game
Expensive Coordination",We propose an event-based policy gradient  to train the leader and an action abstraction policy gradient to train the followers in leader-follower Markov game.
Curvature Graph Network,"

Ze Ye
, 
Kin Sum Liu
, 
Tengfei Ma
, 
Jie Gao
, 
Chao Chen

","Deep Learning
Graph Convolution
Ricci Curvature.",
Distance-Based Learning from Errors for Confidence Calibration,"

Chen Xing
, 
Sercan Arik
, 
Zizhao Zhang
, 
Tomas Pfister

","Confidence Calibration
Uncertainty Estimation
Prototypical Learning",
Deep Learning of Determinantal Point Processes via Proper Spectral Sub-gradient,"

Tianshu Yu
, 
Yikang Li
, 
Baoxin Li

","determinantal point processes
deep learning
optimization",We proposed a specific back-propagation method via proper spectral sub-gradient to integrate determinantal point process to deep learning framework.
N-BEATS: Neural basis expansion analysis for interpretable time series forecasting,"

Boris N. Oreshkin
, 
Dmitri Carpov
, 
Nicolas Chapados
, 
Yoshua Bengio

","time series forecasting
deep learning",A novel deep interpretable architecture that achieves state of the art on three large scale univariate time series forecasting datasets 
Automated Relational Meta-learning,"

Huaxiu Yao
, 
Xian Wu
, 
Zhiqiang Tao
, 
Yaliang Li
, 
Bolin Ding
, 
Ruirui Li
, 
Zhenhui Li

","meta-learning
task heterogeneity
meta-knowledge graph",Addressing task heterogeneity problem in meta-learning by introducing meta-knowledge graph
"To Relieve Your Headache of Training an MRF, Take AdVIL","

Chongxuan Li
, 
Chao Du
, 
Kun Xu
, 
Max Welling
, 
Jun Zhu
, 
Bo Zhang

","Markov Random Fields
Undirected Graphical Models
Variational Inference
Black-box Infernece",We propose a black-box algorithm called AdVIL  to perform inference and learning on a general Markov random field.
Linear Symmetric Quantization of Neural Networks for Low-precision Integer Hardware,"

Xiandong Zhao
, 
Ying Wang
, 
Xuyi Cai
, 
Cheng Liu
, 
Lei Zhang

","quantization
integer-arithmetic-only DNN accelerator
acceleration",We introduce an efficient quantization process that allows for performance acceleration on specialized integer-only neural network accelerator.
Weakly Supervised Clustering by Exploiting Unique Class Count,"

Mustafa Umit Oner
, 
Hwee Kuan Lee
, 
Wing-Kin Sung

","weakly supervised clustering
weakly supervised learning
multiple instance learning",A weakly supervised learning based clustering framework performs comparable to that of fully supervised learning models by exploiting unique class count.
Scalable and Order-robust Continual Learning with Additive Parameter Decomposition,"

Jaehong Yoon
, 
Saehoon Kim
, 
Eunho Yang
, 
Sung Ju Hwang

","Continual Learning
Lifelong Learning
Catastrophic Forgetting
Deep Learning",
Continual Learning with Adaptive Weights (CLAW),"

Tameem Adel
, 
Han Zhao
, 
Richard E. Turner

",Continual learning,A continual learning framework which learns to automatically adapt its architecture based on a proposed variational inference algorithm. 
Transferable Perturbations of Deep Feature Distributions,"

Nathan Inkawhich
, 
Kevin Liang
, 
Lawrence Carin
, 
Yiran Chen

","adversarial attacks
transferability
interpretability",We show that perturbations based-on intermediate feature distributions yield more transferable adversarial examples and allow for analysis of the affects of adversarial perturbations on intermediate representations.
A Learning-based Iterative Method for Solving Vehicle Routing Problems,"

Hao Lu
, 
Xingwen Zhang
, 
Shuang Yang

","vehicle routing
reinforcement learning
optimization
heuristics",
Poly-encoders: Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring,"

Samuel Humeau
, 
Kurt Shuster
, 
Marie-Anne Lachaux
, 
Jason Weston

",,
AutoQ: Automated Kernel-Wise Neural Network Quantization,"

Qian Lou
, 
Feng Guo
, 
Minje Kim
, 
Lantao Liu
, 
Lei Jiang.

","AutoML
Kernel-Wise Neural Networks Quantization
Hierarchical Deep Reinforcement Learning","Accurate, Fast and Automated Kernel-Wise Neural Network Quantization with Mixed Precision using Hierarchical Deep Reinforcement Learning"
Understanding Architectures Learnt by Cell-based Neural Architecture Search,"

Yao Shu
, 
Wei Wang
, 
Shaofeng Cai

","Neural Architecture Search
connection pattern
optimization
convergence
Lipschitz smoothness
gradient variance
generalization",
SVQN: Sequential Variational Soft Q-Learning Networks,"

Shiyu Huang
, 
Hang Su
, 
Jun Zhu
, 
Ting Chen

","reinforcement learning
POMDP
variational inference
generative model",SVQNs  formalizes the inference of hidden states and maximum entropy reinforcement learning under a unified graphical model and optimizes the two modules jointly.
Ranking Policy Gradient,"

Kaixiang Lin
, 
Jiayu Zhou

","Sample-efficient reinforcement learning
off-policy learning.","We propose ranking policy gradient that learns the optimal rank of actions to maximize return. We propose a general off-policy learning framework with the properties of optimality preserving, variance reduction, and sample-efficiency."
On Mutual Information Maximization for Representation Learning,"

Michael Tschannen
, 
Josip Djolonga
, 
Paul K. Rubenstein
, 
Sylvain Gelly
, 
Mario Lucic

","mutual information
representation learning
unsupervised learning
self-supervised learning",The success of recent mutual information (MI)-based representation learning approaches strongly depends on the inductive bias in both the choice of network architectures and the parametrization of the employed MI estimators.
Observational Overfitting in Reinforcement Learning,"

Xingyou Song
, 
Yiding Jiang
, 
Stephen Tu
, 
Yilun Du
, 
Behnam Neyshabur

","observational
overfitting
reinforcement
learning
generalization
implicit
regularization
overparametrization",We isolate one factor of RL generalization by analyzing the case when the agent only overfits to the observations. We show that architectural implicit regularizations occur in this regime.
Enhancing Transformation-Based Defenses Against Adversarial Attacks with a Distribution Classifier,"

Connie Kou
, 
Hwee Kuan Lee
, 
Ee-Chien Chang
, 
Teck Khim Ng

","adversarial attack
transformation defenses
distribution classifier",We enhance existing transformation-based defenses by using a distribution classifier on the distribution of softmax obtained from transformed images.
Additive Powers-of-Two Quantization: An Efficient Non-uniform Discretization for Neural Networks,"

Yuhang Li
, 
Xin Dong
, 
Wei Wang

","Quantization
Efficient Inference
Neural Networks",
Lazy-CFR: fast and near-optimal regret minimization for extensive games with imperfect information,"

Yichi Zhou
, 
Tongzheng Ren
, 
Jialian Li
, 
Dong Yan
, 
Jun Zhu

",,
Knowledge Consistency between Neural Networks and Beyond,"

Ruofan Liang
, 
Tianlin Li
, 
Longfei Li
, 
Jing Wang
, 
Quanshi Zhang

","Deep Learning
Interpretability
Convolutional Neural Networks",
Image-guided Neural Object Rendering,"

Justus Thies
, 
Michael Zollhöfer
, 
Christian Theobalt
, 
Marc Stamminger
, 
Matthias Nießner

","Neural Rendering
Neural Image Synthesis",We propose a learned image-guided rendering technique that combines the benefits of image-based rendering and GAN-based image synthesis while considering view-dependent effects.
Implicit Bias of Gradient Descent based Adversarial Training on Separable Data,"

Yan Li
, 
Ethan X.Fang
, 
Huan Xu
, 
Tuo Zhao

","implicit bias
adversarial training
robustness
gradient descent","The solution of gradient descent based adversarial training converges in direction to a robust max margin solution that is adapted to adversary geometry, using L2 perturbation also shows significant speed-up in convergence compared to clean training."
TabFact: A Large-scale Dataset for Table-based Fact Verification,"

Wenhu Chen
, 
Hongmin Wang
, 
Jianshu Chen
, 
Yunkai Zhang
, 
Hong Wang
, 
Shiyang Li
, 
Xiyou Zhou
, 
William Yang Wang

","Fact Verification
Tabular Data
Symbolic Reasoning",We propose a new dataset to investigate the entailment problem under semi-structured table as premise
ES-MAML: Simple Hessian-Free Meta Learning,"

Xingyou Song
, 
Wenbo Gao
, 
Yuxiang Yang
, 
Krzysztof Choromanski
, 
Aldo Pacchiano
, 
Yunhao Tang

","ES
MAML
evolution
strategies
meta
learning
gaussian
perturbation
reinforcement
learning
adaptation","We provide a new framework for MAML in the ES/blackbox setting, and show that it allows deterministic and linear policies, better exploration, and non-differentiable adaptation operators."
Neural Stored-program Memory,"

Hung Le
, 
Truyen Tran
, 
Svetha Venkatesh

","Memory Augmented Neural Networks
Universal Turing Machine
fast-weight",A neural simulation of Universal Turing Machine
Hierarchical Foresight: Self-Supervised Learning of Long-Horizon Tasks via Visual Subgoal Generation,"

Suraj Nair
, 
Chelsea Finn

","video prediction
reinforcement learning
planning","Hierarchical visual foresight learns to generate visual subgoals that break down long-horizon tasks into subtasks, using only self-supervision."
Multi-agent Reinforcement Learning for Networked System Control,"

Tianshu Chu
, 
Sandeep Chinchali
, 
Sachin Katti

","deep reinforcement learning
multi-agent reinforcement learning
decision and control",This paper proposes a new formulation and a new communication protocol for networked multi-agent control problems
FSPool: Learning Set Representations with Featurewise Sort Pooling,"

Yan Zhang
, 
Jonathon Hare
, 
Adam Prügel-Bennett

","set auto-encoder
set encoder
pooling",Sort in encoder and undo sorting in decoder to avoid responsibility problem in set auto-encoders
Are Pre-trained Language Models Aware of Phrases? Simple but Strong Baselines for Grammar Induction,"

Taeuk Kim
, 
Jihun Choi
, 
Daniel Edmiston
, 
Sang-goo Lee

",,
Dynamically Pruned Message Passing Networks for Large-scale Knowledge Graph Reasoning,"

Xiaoran Xu
, 
Wei Feng
, 
Yunsheng Jiang
, 
Xiaohui Xie
, 
Zhiqing Sun
, 
Zhi-Hong Deng

","knowledge graph reasoning
graph neural networks
attention mechanism"," We propose to learn an input-dependent subgraph, dynamically and selectively expanded, to explicitly model a sequential reasoning process."
Mixup Inference: Better Exploiting Mixup to Defend Adversarial Attacks,"

Tianyu Pang*
, 
Kun Xu*
, 
Jun Zhu

","Trustworthy Machine Learning
Adversarial Robustness
Inference Principle
Mixup",We exploit the global linearity of the mixup-trained models in inference to break the locality of the adversarial perturbations.
Theory and Evaluation Metrics for Learning Disentangled Representations,"

Kien Do
, 
Truyen Tran

","disentanglement
metrics",
Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,"

Daniel Keysers
, 
Nathanael Schärli
, 
Nathan Scales
, 
Hylke Buisman
, 
Daniel Furrer
, 
Sergii Kashubin
, 
Nikola Momchev
, 
Danila Sinopalnikov
, 
Lukasz Stafiniak
, 
Tibor Tihon
, 
Dmitry Tsarkov
, 
Xiao Wang
, 
Marc van Zee
, 
Olivier Bousquet

","compositionality
generalization
natural language understanding
benchmark
compositional generalization
compositional modeling
semantic parsing
generalization measurement",Benchmark and method to measure compositional generalization by maximizing divergence of compound frequency at small divergence of atom frequency.
Rethinking Softmax Cross-Entropy Loss for Adversarial Robustness,"

Tianyu Pang
, 
Kun Xu
, 
Yinpeng Dong
, 
Chao Du
, 
Ning Chen
, 
Jun Zhu

","Trustworthy Machine Learning
Adversarial Robustness
Training Objective
Sample Density",Applying the softmax function in training leads to indirect and unexpected supervision on features. We propose a new training objective to explicitly induce dense feature regions for locally sufficient samples to benefit adversarial robustness.
The Implicit Bias of Depth: How Incremental Learning Drives Generalization,"

Daniel Gissin
, 
Shai Shalev-Shwartz
, 
Amit Daniely

","gradient flow
gradient descent
implicit regularization
implicit bias
generalization
optimization
quadratic network
matrix sensing","We study the sparsity-inducing bias of deep models, caused by their learning dynamics."
The Variational Bandwidth Bottleneck: Stochastic Evaluation on an Information Budget,"

Anirudh Goyal
, 
Yoshua Bengio
, 
Matthew Botvinick
, 
Sergey Levine

","Variational Information Bottleneck
Reinforcement learning",Training agents with adaptive computation based on information bottleneck can promote generalization. 
Learning the Arrow of Time for Problems in Reinforcement Learning,"

Nasim Rahaman
, 
Steffen Wolf
, 
Anirudh Goyal
, 
Roman Remme
, 
Yoshua Bengio

","Arrow of Time
Reinforcement Learning
AI-Safety","We learn the arrow of time for MDPs and use it to measure reachability, detect side-effects and obtain a curiosity reward signal. "
Reinforcement Learning with Competitive Ensembles of Information-Constrained Primitives,"

Anirudh Goyal
, 
Shagun Sodhani
, 
Jonathan Binas
, 
Xue Bin Peng
, 
Sergey Levine
, 
Yoshua Bengio

","Reinforcement Learning
Variational Information Bottleneck
Learning primitives","Learning an implicit master policy, as a master policy in HRL can fail to generalize."
Robust Local Features for Improving the Generalization of Adversarial Training,"

Chuanbiao Song
, 
Kun He
, 
Jiadong Lin
, 
Liwei Wang
, 
John E. Hopcroft

","adversarial robustness
adversarial training
adversarial example
deep learning",We propose a new stream of adversarial training approach called Robust Local Features for Adversarial Training (RLFAT) that significantly improves both the adversarially robust generalization and the standard generalization.
Analysis of Video Feature Learning in Two-Stream CNNs on the Example of Zebrafish Swim Bout Classification,"

Bennet Breier
, 
Arno Onken

","convolutional neural networks
neural network transparency
AI explainability
deep Taylor decomposition
supervised classification
zebrafish
transparency
behavioral research
optical flow",We demonstrate the utility of a recent AI explainability technique by visualizing the learned features of a CNN trained on binary classification of zebrafish movements.
Learning Disentangled Representations for CounterFactual Regression,"

Negar Hassanpour
, 
Russell Greiner

","Counterfactual Regression
Causal Effect Estimation
Selection Bias
Off-policy Learning",
Exploration in Reinforcement Learning with Deep Covering Options,"

Yuu Jinnai
, 
Jee Won Park
, 
Marlos C. Machado
, 
George Konidaris

","Reinforcement learning
temporal abstraction
exploration",We introduce a method to automatically discover task-agnostic options that encourage exploration for reinforcement learning.
AE-OT: A NEW GENERATIVE MODEL BASED ON EXTENDED SEMI-DISCRETE OPTIMAL TRANSPORT,"

Dongsheng An
, 
Yang Guo
, 
Na Lei
, 
Zhongxuan Luo
, 
Shing-Tung Yau
, 
Xianfeng Gu

","Generative model
auto-encoder
optimal transport
mode collapse
regularity",
Logic and the 2-Simplicial Transformer,"

James Clift
, 
Dmitry Doryn
, 
Daniel Murfet
, 
James Wallbridge

","transformer
logic
reinforcement learning
reasoning",We introduce the 2-simplicial Transformer and show that this architecture is a useful inductive bias for logical reasoning in the context of deep reinforcement learning.
"Watch, Try, Learn: Meta-Learning from Demonstrations and Rewards","

Allan Zhou
, 
Eric Jang
, 
Daniel Kappler
, 
Alex Herzog
, 
Mohi Khansari
, 
Paul Wohlhart
, 
Yunfei Bai
, 
Mrinal Kalakrishnan
, 
Sergey Levine
, 
Chelsea Finn

","meta-learning
reinforcement learning
imitation learning",
Fooling Detection Alone is Not Enough: Adversarial Attack against Multiple Object Tracking,"

Yunhan Jia
, 
Yantao Lu
, 
Junjie Shen
, 
Qi Alfred Chen
, 
Hao Chen
, 
Zhenyu Zhong
, 
Tao Wei

","Adversarial examples
object detection
object tracking
security
autonomous vehicle
deep learning",We study the adversarial machine learning attacks against the Multiple Object Tracking mechanisms for the first time. 
DivideMix: Learning with Noisy Labels as Semi-supervised Learning,"

Junnan Li
, 
Richard Socher
, 
Steven C.H. Hoi

","label noise
semi-supervised learning",We propose a novel semi-supervised learning approach with SOTA performance on combating learning with noisy labels.
Improving Adversarial Robustness Requires Revisiting Misclassified Examples,"

Yisen Wang
, 
Difan Zou
, 
Jinfeng Yi
, 
James Bailey
, 
Xingjun Ma
, 
Quanquan Gu

","Robustness
Adversarial Defense
Adversarial Training","By differentiating misclassified and correctly classified data, we propose a new misclassification aware defense that improves the state-of-the-art adversarial robustness."
V-MPO: On-Policy Maximum a Posteriori Policy Optimization for Discrete and Continuous Control,"

H. Francis Song
, 
Abbas Abdolmaleki
, 
Jost Tobias Springenberg
, 
Aidan Clark
, 
Hubert Soyer
, 
Jack W. Rae
, 
Seb Noury
, 
Arun Ahuja
, 
Siqi Liu
, 
Dhruva Tirumala
, 
Nicolas Heess
, 
Dan Belov
, 
Martin Riedmiller
, 
Matthew M. Botvinick

","reinforcement learning
policy iteration
multi-task learning
continuous control",A state-value function-based version of MPO that achieves good results in a wide range of tasks in discrete and continuous control.
Interpretable Complex-Valued Neural Networks for Privacy Protection,"

Liyao Xiang
, 
Hao Zhang
, 
Haotian Ma
, 
Yifan Zhang
, 
Jie Ren
, 
Quanshi Zhang

","Deep Learning
Privacy Protection
Complex-Valued Neural Networks",
Accelerating SGD with momentum for over-parameterized learning,"

Chaoyue Liu
, 
Mikhail Belkin

","SGD
acceleration
momentum
stochastic
over-parameterized
Nesterov","This work proves the non-acceleration of Nesterov SGD with any hyper-parameters, and proposes new algorithm which provably accelerates SGD in the over-parameterized setting."
"A critical analysis of self-supervision, or what we can learn from a single image","

Asano YM.
, 
Rupprecht C.
, 
Vedaldi A.

","self-supervision
feature representation learning
CNN",We evaluate self-supervised feature learning methods and find that with sufficient data augmentation early layers can be learned using just one image.  This is informative about self-supervision and the role of augmentations.
Disentangling Factors of Variations Using Few Labels,"

Francesco Locatello
, 
Michael Tschannen
, 
Stefan Bauer
, 
Gunnar Rätsch
, 
Bernhard Schölkopf
, 
Olivier Bachem

",,
Functional vs. parametric equivalence of ReLU networks,"

Mary Phuong
, 
Christoph H. Lampert

","ReLU networks
symmetry
functional equivalence
over-parameterization",We prove that there exist ReLU networks whose parameters are almost uniquely determined by the function they implement.
Input Complexity and Out-of-distribution Detection with Likelihood-based Generative Models,"

Joan Serrà
, 
David Álvarez
, 
Vicenç Gómez
, 
Olga Slizovskaia
, 
José F. Núñez
, 
Jordi Luque

","OOD
generative models
likelihood","We pose that generative models' likelihoods are excessively influenced by the input's complexity, and propose a way to compensate it when detecting out-of-distribution inputs"
RTFM: Generalising to New Environment Dynamics via Reading,"

Victor Zhong
, 
Tim Rocktäschel
, 
Edward Grefenstette

","reinforcement learning
policy learning
reading comprehension
generalisation",We show language understanding via reading is promising way to learn policies that generalise to new environments.
What graph neural networks cannot learn: depth vs width,"

Andreas Loukas

","graph neural networks
capacity
impossibility results
lower bounds
expressive power",Several graph problems are impossible unless the product of a graph neural network's depth and width exceeds a polynomial of the graph size.
Progressive Memory Banks for Incremental Domain Adaptation,"

Nabiha Asghar
, 
Lili Mou
, 
Kira A. Selby
, 
Kevin D. Pantasdo
, 
Pascal Poupart
, 
Xin Jiang

","natural language processing
domain adaptation","We present a neural memory-based architecture for incremental domain adaptation, and provide theoretical and empirical results."
Automated curriculum generation through setter-solver interactions,"

Sebastien Racaniere
, 
Andrew Lampinen
, 
Adam Santoro
, 
David Reichert
, 
Vlad Firoiu
, 
Timothy Lillicrap

","Deep Reinforcement Learning
Automatic Curriculum",We investigate automatic curriculum generation and identify a number of losses useful to learn to generate a curriculum of tasks.
On Identifiability in Transformers,"

Gino Brunner
, 
Yang Liu
, 
Damian Pascual
, 
Oliver Richter
, 
Massimiliano Ciaramita
, 
Roger Wattenhofer

","Self-attention
interpretability
identifiability
BERT
Transformer
NLP
explanation
gradient attribution",We investigate the identifiability and interpretability of attention distributions and tokens within contextual embeddings in the self-attention based BERT model.
Exploring Model-based Planning with Policy Networks,"

Tingwu Wang
, 
Jimmy Ba

","reinforcement learning
model-based reinforcement learning
planning",how to achieve state-of-the-art performance by combining policy network in model-based planning
Learning Self-Correctable Policies and Value Functions from Demonstrations with Negative Sampling,"

Yuping Luo
, 
Huazhe Xu
, 
Tengyu Ma

","imitation learning
model-based imitation learning
model-based RL
behavior cloning
covariate shift","We introduce a notion of conservatively-extrapolated value functions, which provably lead to policies that can self-correct to stay close to the demonstration states, and learn them with a novel negative sampling technique."
Geometric Insights into the Convergence of Nonlinear TD Learning,"

David Brandfonbrener
, 
Joan Bruna

","TD
nonlinear
convergence
value estimation
reinforcement learning",
Few-shot Text Classification with Distributional Signatures,"

Yujia Bao
, 
Menghua Wu
, 
Shiyu Chang
, 
Regina Barzilay

","text classification
meta learning
few shot learning","Meta-learning methods used for vision, directly applied to NLP, perform worse than nearest neighbors on new classes; we can do better with distributional signatures."
Escaping Saddle Points Faster with Stochastic Momentum,"

Jun-Kun Wang
, 
Chi-Heng Lin
, 
Jacob Abernethy

","SGD
momentum
escaping saddle point",
Adversarial Policies: Attacking Deep Reinforcement Learning,"

Adam Gleave
, 
Michael Dennis
, 
Cody Wild
, 
Neel Kant
, 
Sergey Levine
, 
Stuart Russell

","deep RL
adversarial examples
security
multi-agent",Deep RL policies can be attacked by other agents taking actions so as to create natural observations that are adversarial.
VideoFlow: A Conditional Flow-Based Model for Stochastic Video Generation,"

Manoj Kumar
, 
Mohammad Babaeizadeh
, 
Dumitru Erhan
, 
Chelsea Finn
, 
Sergey Levine
, 
Laurent Dinh
, 
Durk Kingma

","Video generation
flow-based generative models
stochastic video prediction",We demonstrate that flow-based generative models offer a viable and competitive approach to generative modeling of video.
GLAD: Learning Sparse Graph Recovery,"

Harsh Shrivastava
, 
Xinshi Chen
, 
Binghong Chen
, 
Guanghui Lan
, 
Srinivas Aluru
, 
Han Liu
, 
Le Song

","Meta learning
automated algorithm design
learning structure recovery
Gaussian graphical models",A data-driven learning algorithm based on unrolling the Alternating Minimization optimization for sparse graph recovery.
Pruned Graph Scattering Transforms,"

Vassilis N. Ioannidis
, 
Siheng Chen
, 
Georgios B. Giannakis

","Graph scattering transforms
pruning
graph convolutional networks
stability
deep learning",
Pretrained Encyclopedia: Weakly Supervised Knowledge-Pretrained Language Model,"

Wenhan Xiong
, 
Jingfei Du
, 
William Yang Wang
, 
Veselin Stoyanov

",,
Can gradient clipping mitigate label noise?,"

Aditya Krishna Menon
, 
Ankit Singh Rawat
, 
Sashank J. Reddi
, 
Sanjiv Kumar

",,"Gradient clipping doesn't endow robustness to label noise, but a simple loss-based variant does."
Editable Neural Networks,"

Anton Sinitsin
, 
Vsevolod Plokhotnyuk
, 
Dmitry Pyrkin
, 
Sergei Popov
, 
Artem Babenko

","editing
editable
meta-learning
maml",Training neural networks so you can efficiently patch them later.
LEARNING EXECUTION THROUGH NEURAL CODE FUSION,"

Zhan Shi
, 
Kevin Swersky
, 
Daniel Tarlow
, 
Parthasarathy Ranganathan
, 
Milad Hashemi

","code understanding
graph neural networks
learning program execution
execution traces
program performance",
FasterSeg: Searching for Faster Real-time Semantic Segmentation,"

Wuyang Chen
, 
Xinyu Gong
, 
Xianming Liu
, 
Qian Zhang
, 
Yuan Li
, 
Zhangyang Wang

","neural architecture search
real-time
segmentation","We present a real-time segmentation model automatically discovered by a multi-scale NAS framework, achieving 30% faster than state-of-the-art models."
