What Can Neural Networks Reason About?,"

Keyulu Xu
, 
Jingling Li
, 
Mozhi Zhang
, 
Simon S. Du
, 
Ken-ichi Kawarabayashi
, 
Stefanie Jegelka

","reasoning
deep learning theory
algorithmic alignment
graph neural networks",We develop a theoretical framework to characterize what a neural network can learn to reason about.
Training individually fair ML models with sensitive subspace robustness,"

Mikhail Yurochkin
, 
Amanda Bower
, 
Yuekai Sun

","fairness
adversarial robustness",Algorithm for training individually fair classifier using adversarial robustness
Learning from Rules Generalizing Labeled Exemplars,"

Abhijeet Awasthi
, 
Sabyasachi Ghosh
, 
Rasna Goyal
, 
Sunita Sarawagi

","Learning from Rules
Learning from limited labeled data
Weakly Supervised Learning",Coupled rule-exemplar supervision and a implication loss helps to jointly learn to denoise rules and imply labels.
Directional Message Passing for Molecular Graphs,"

Johannes Klicpera
, 
Janek Groß
, 
Stephan Günnemann

","GNN
Graph neural network
message passing
graphs
equivariance
molecules",Directional message passing incorporates spatial directional information to improve graph neural networks.
Explanation by Progressive Exaggeration,"

Sumedha Singla
, 
Brian Pollack
, 
Junxiang Chen
, 
Kayhan Batmanghelich

","Explain
deep learning
black box
GAN
counterfactual","A method to explain a classifier, by generating visual perturbation of an image by exaggerating  or diminishing the semantic features that the classifier associates with a target label."
Compression based bound for non-compressed network: unified generalization error analysis of large compressible deep neural network,"

Taiji Suzuki
, 
Hiroshi Abe
, 
Tomoaki Nishimura

","Generalization error
compression based bound
local Rademacher complexity",
At Stability's Edge: How to Adjust Hyperparameters to Preserve Minima Selection in Asynchronous Training of Neural Networks?,"

Niv Giladi
, 
Mor Shpigel Nacson
, 
Elad Hoffer
, 
Daniel Soudry

","implicit bias
stability
neural networks
generalization gap
asynchronous SGD",How to prevent stale gradients (in asynchronous SGD) from changing minima stability and degrade steady state generalization?
Disentanglement by Nonlinear ICA with General Incompressible-flow Networks (GIN),"

Peter Sorrenson
, 
Carsten Rother
, 
Ullrich Köthe

","disentanglement
nonlinear ICA
representation learning
feature discovery
theoretical justification",
"Kaleidoscope: An Efficient, Learnable Representation For All Structured Linear Maps","

Tri Dao
, 
Nimit Sohoni
, 
Albert Gu
, 
Matthew Eichhorn
, 
Amit Blonder
, 
Megan Leszczynski
, 
Atri Rudra
, 
Christopher Ré

","structured matrices
efficient ML
algorithms
butterfly matrices
arithmetic circuits","We propose a differentiable family of ""kaleidoscope matrices,"" prove that all structured matrices can be represented in this form, and use them to replace hand-crafted linear maps in deep learning models."
Improving Generalization in Meta Reinforcement Learning using Learned Objectives,"

Louis Kirsch
, 
Sjoerd van Steenkiste
, 
Juergen Schmidhuber

","meta reinforcement learning
meta learning
reinforcement learning","We introduce MetaGenRL, a novel meta reinforcement learning algorithm. Unlike prior work, MetaGenRL can generalize to new environments that are entirely different from those used for meta-training."
Drawing Early-Bird Tickets: Toward More Efficient Training of Deep Networks,"

Haoran You
, 
Chaojian Li
, 
Pengfei Xu
, 
Yonggan Fu
, 
Yue Wang
, 
Xiaohan Chen
, 
Richard G. Baraniuk
, 
Zhangyang Wang
, 
Yingyan Lin

",,
Truth or backpropaganda? An empirical investigation of deep learning theory,"

Micah Goldblum
, 
Jonas Geiping
, 
Avi Schwarzschild
, 
Michael Moeller
, 
Tom Goldstein

","Deep learning
generalization
loss landscape
robustness","We call into question commonly held beliefs regarding the loss landscape, optimization, network width, and rank."
Neural Arithmetic Units,"

Andreas Madsen
, 
Alexander Rosenberg Johansen

",,
DeepSphere: a graph-based spherical CNN,"

Michaël Defferrard
, 
Martino Milani
, 
Frédérick Gusset
, 
Nathanaël Perraudin

","spherical cnns
graph neural networks
geometric deep learning",A graph-based spherical CNN that strikes an interesting balance of trade-offs for a wide variety of applications.
SUMO: Unbiased Estimation of Log Marginal Probability for Latent Variable Models,"

Yucen Luo
, 
Alex Beatson
, 
Mohammad Norouzi
, 
Jun Zhu
, 
David Duvenaud
, 
Ryan P. Adams
, 
Ricky T. Q. Chen

",,"We create an unbiased estimator for the log probability of latent variable models, extending such models to a larger scope of applications."
Deep Learning For Symbolic Mathematics,"

Guillaume Lample
, 
François Charton

","symbolic
math
deep learning
transformers","We train a neural network to compute function integrals, and to solve complex differential equations."
Making Sense of Reinforcement Learning and Probabilistic Inference,"

Brendan O'Donoghue
, 
Ian Osband
, 
Catalin Ionescu

","Reinforcement learning
Bayesian inference
Exploration","Popular algorithms that cast ""RL as Inference"" ignore the role of uncertainty and exploration. We highlight the importance of these issues and present a coherent framework for RL and inference that handles them gracefully."
Unbiased Contrastive Divergence Algorithm for Training Energy-Based Latent Variable Models,"

Yixuan Qiu
, 
Lingsong Zhang
, 
Xiao Wang

","energy model
restricted Boltzmann machine
contrastive divergence
unbiased Markov chain Monte Carlo
distribution coupling",We have developed a new training algorithm for energy-based latent variable models that completely removes the bias of contrastive divergence.
