"Title"	"Authors"	"PDF"	"Supplementary PDF"	"Code"	"Abstract"
"Feature-map-level Online Adversarial Knowledge Distillation"	"Inseop Chung, Seonguk Park, Jangho Kim, Nojun Kwak"	"http://proceedings.mlr.press/v119/chung20a/chung20a.pdf"	"http://proceedings.mlr.press/v119/chung20a/chung20a-supp.pdf"	"--"	"Feature maps contain rich information about image intensity and spatial correlation. However, previous online knowledge distillation methods only utilize the class probabilities. Thus in this paper, we propose an online knowledge distillation method that transfers not only the knowledge of the class probabilities but also that of the feature map using the adversarial training framework. We train multiple networks simultaneously by employing discriminators to distinguish the feature map distributions of different networks. Each network has its corresponding discriminator which discriminates the feature map from its own as fake while classifying that of the other network as real. By training a network to fool the corresponding discriminator, it can learn the other network’s feature map distribution. We show that our method performs better than the conventional direct alignment method such as L1 and is more suitable for online distillation. Also, we propose a novel cyclic learning scheme for training more than two networks together. We have applied our method to various network architectures on the classification task and discovered a significant improvement of performance especially in the case of training a pair of a small network and a large one."
"Minimally distorted Adversarial Examples with a Fast Adaptive Boundary Attack"	"Francesco Croce, Matthias Hein"	"http://proceedings.mlr.press/v119/croce20a/croce20a.pdf"	"http://proceedings.mlr.press/v119/croce20a/croce20a-supp.pdf"	"https://github.com/fra31/fab-attack"	"The evaluation of robustness against adversarial manipulation of neural networks-based classifiers is mainly tested with empirical attacks as methods for the exact computation, even when available, do not scale to large networks. We propose in this paper a new white-box adversarial attack wrt the $l_p$-norms for $p \in \{1,2,\infty\}$ aiming at finding the minimal perturbation necessary to change the class of a given input. It has an intuitive geometric meaning, yields quickly high quality results, minimizes the size of the perturbation (so that it returns the robust accuracy at every threshold with a single run). It performs better or similar to state-of-the-art attacks which are partially specialized to one $l_p$-norm, and is robust to the phenomenon of gradient obfuscation."
"Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks"	"Francesco Croce, Matthias Hein"	"http://proceedings.mlr.press/v119/croce20b/croce20b.pdf"	"http://proceedings.mlr.press/v119/croce20b/croce20b-supp.pdf"	"https://github.com/fra31/auto-attack"	"The field of defense strategies against adversarial attacks has significantly grown over the last years, but progress is hampered as the evaluation of adversarial defenses is often insufficient and thus gives a wrong impression of robustness. Many promising defenses could be broken later on, making it difficult to identify the state-of-the-art. Frequent pitfalls in the evaluation are improper tuning of hyperparameters of the attacks, gradient obfuscation or masking. In this paper we first propose two extensions of the PGD-attack overcoming failures due to suboptimal step size and problems of the objective function. We then combine our novel attacks with two complementary existing ones to form a parameter-free, computationally affordable and user-independent ensemble of attacks to test adversarial robustness. We apply our ensemble to over 50 models from papers published at recent top machine learning and computer vision venues. In all except one of the cases we achieve lower robust test accuracy than reported in these papers, often by more than $10%$, identifying several broken defenses."
"Sharp Statistical Guaratees for Adversarially Robust Gaussian Classification"	"Chen Dan, Yuting Wei, Pradeep Ravikumar"	"http://proceedings.mlr.press/v119/dan20b/dan20b.pdf"	"http://proceedings.mlr.press/v119/dan20b/dan20b-supp.pdf"	"--"	"Adversarial robustness has become a fundamental requirement in modern machine learning applications. Yet, there has been surprisingly little statistical understanding so far. In this paper, we provide the first result of the \emph{optimal} minimax guarantees for the excess risk for adversarially robust classification, under Gaussian mixture model proposed by \cite{schmidt2018adversarially}. The results are stated in terms of the \emph{Adversarial Signal-to-Noise Ratio (AdvSNR)}, which generalizes a similar notion for standard linear classification to the adversarial setting. For the Gaussian mixtures with AdvSNR value of $r$, we prove an excess risk lower bound of order $\Theta(e^{-(\frac{1}{2}+o(1)) r^2} \frac{d}{n})$ and design a computationally efficient estimator that achieves this optimal rate. Our results built upon minimal assumptions while cover a wide spectrum of adversarial perturbations including $\ell_p$ balls for any $p \ge 1$."
"Adversarial Attacks on Probabilistic Autoregressive Forecasting Models"	"Raphaël Dang-Nhu, Gagandeep Singh, Pavol Bielik, Martin Vechev"	"http://proceedings.mlr.press/v119/dang-nhu20a/dang-nhu20a.pdf"	"http://proceedings.mlr.press/v119/dang-nhu20a/dang-nhu20a-supp.pdf"	"https://github.com/eth-sri/probabilistic-forecasts-attacks"	"We develop an effective generation of adversarial attacks on neural models that output a sequence of probability distributions rather than a sequence of single values. This setting includes the recently proposed deep probabilistic autoregressive forecasting models that estimate the probability distribution of a time series given its past and achieve state-of-the-art results in a diverse set of application domains. The key technical challenge we address is how to effectively differentiate through the Monte-Carlo estimation of statistics of the output sequence joint distribution. Additionally, we extend prior work on probabilistic forecasting to the Bayesian setting which allows conditioning on future observations, instead of only on past observations. We demonstrate that our approach can successfully generate attacks with small input perturbations in two challenging tasks where robust decision making is crucial – stock market trading and prediction of electricity consumption."
"Interpreting Robust Optimization via Adversarial Influence Functions"	"Zhun Deng, Cynthia Dwork, Jialiang Wang, Linjun Zhang"	"http://proceedings.mlr.press/v119/deng20a/deng20a.pdf"	"http://proceedings.mlr.press/v119/deng20a/deng20a-supp.pdf"	"--"	"Robust optimization has been widely used in nowadays data science, especially in adversarial training. However, little research has been done to quantify how robust optimization changes the optimizers and the prediction losses comparing to standard training. In this paper, inspired by the influence function in robust statistics, we introduce the Adversarial Influence Function (AIF) as a tool to investigate the solution produced by robust optimization. The proposed AIF enjoys a closed-form and can be calculated efficiently. To illustrate the usage of AIF, we apply it to study model sensitivity — a quantity defined to capture the change of prediction losses on the natural data after implementing robust optimization. We use AIF to analyze how model complexity and randomized smoothing affect the model sensitivity with respect to specific models. We further derive AIF for kernel regressions, with a particular application to neural tangent kernels, and experimentally demonstrate the effectiveness of the proposed AIF. Lastly, the theories of AIF will be extended to distributional robust optimization."
"Towards Understanding the Dynamics of the First-Order Adversaries"	"Zhun Deng, Hangfeng He, Jiaoyang Huang, Weijie Su"	"http://proceedings.mlr.press/v119/deng20c/deng20c.pdf"	"http://proceedings.mlr.press/v119/deng20c/deng20c-supp.pdf"	"--"	"An acknowledged weakness of neural networks is their vulnerability to adversarial perturbations to the inputs. To improve the robustness of these models, one of the most popular defense mechanisms is to alternatively maximize the loss over the constrained perturbations (or called adversaries) on the inputs using projected gradient ascent and minimize over weights. In this paper, we analyze the dynamics of the maximization step towards understanding the experimentally observed effectiveness of this defense mechanism. Specifically, we investigate the non-concave landscape of the adversaries for a two-layer neural network with a quadratic loss. Our main result proves that projected gradient ascent finds a local maximum of this non-concave problem in a polynomial number of iterations with high probability. To our knowledge, this is the first work that provides a convergence analysis of the first-order adversaries. Moreover, our analysis demonstrates that, in the initial phase of adversarial training, the scale of the inputs matters in the sense that a smaller input scale leads to faster convergence of adversarial training and a “more regular” landscape. Finally, we show that these theoretical findings are in excellent agreement with a series of experiments."
"Parameterized Rate-Distortion Stochastic Encoder"	"Quan Hoang, Trung Le, Dinh Phung"	"http://proceedings.mlr.press/v119/hoang20c/hoang20c.pdf"	"http://proceedings.mlr.press/v119/hoang20c/hoang20c-supp.pdf"	"https://github.com/qhoangdl/paradise"	"We propose a novel gradient-based tractable approach for the Blahut-Arimoto (BA) algorithm to compute the rate-distortion function where the BA algorithm is fully parameterized. This results in a rich and flexible framework to learn a new class of stochastic encoders, termed PArameterized RAte-DIstortion Stochastic Encoder (PARADISE). The framework can be applied to a wide range of settings from semi-supervised, multi-task to supervised and robust learning. We show that the training objective of PARADISE can be seen as a form of regularization that helps improve generalization. With an emphasis on robust learning we further develop a novel posterior matching objective to encourage smoothness on the loss function and show that PARADISE can significantly improve interpretability as well as robustness to adversarial attacks on the CIFAR-10 and ImageNet datasets. In particular, on the CIFAR-10 dataset, our model reduces standard and adversarial error rates in comparison to the state-of-the-art by 50% and 41%, respectively without the expensive computational cost of adversarial training."
"Accelerated Stochastic Gradient-free and Projection-free Methods"	"Feihu Huang, Lue Tao, Songcan Chen"	"http://proceedings.mlr.press/v119/huang20j/huang20j.pdf"	"http://proceedings.mlr.press/v119/huang20j/huang20j-supp.pdf"	"https://github.com/TLMichael/Acc-SZOFW"	"In the paper, we propose a class of accelerated stochastic gradient-free and projection-free (a.k.a., zeroth-order Frank-Wolfe) methods to solve the constrained stochastic and finite-sum nonconvex optimization. Specifically, we propose an accelerated stochastic zeroth-order Frank-Wolfe (Acc-SZOFW) method based on the variance reduced technique of SPIDER/SpiderBoost and a novel momentum accelerated technique. Moreover, under some mild conditions, we prove that the Acc-SZOFW has the function query complexity of $O(d\sqrt{n}\epsilon^{-2})$ for finding an $\epsilon$-stationary point in the finite-sum problem, which improves the exiting best result by a factor of $O(\sqrt{n}\epsilon^{-2})$, and has the function query complexity of $O(d\epsilon^{-3})$ in the stochastic problem, which improves the exiting best result by a factor of $O(\epsilon^{-1})$. To relax the large batches required in the Acc-SZOFW, we further propose a novel accelerated stochastic zeroth-order Frank-Wolfe (Acc-SZOFW*) based on a new variance reduced technique of STORM, which still reaches the function query complexity of $O(d\epsilon^{-3})$ in the stochastic problem without relying on any large batches. In particular, we present an accelerated framework of the Frank-Wolfe methods based on the proposed momentum accelerated technique. The extensive experimental results on black-box adversarial attack and robust black-box classification demonstrate the efficiency of our algorithms."
"DeepMatch: Balancing Deep Covariate Representations for Causal Inference Using Adversarial Training"	"Nathan Kallus"	"http://proceedings.mlr.press/v119/kallus20a/kallus20a.pdf"	"http://proceedings.mlr.press/v119/kallus20a/kallus20a-supp.pdf"	"--"	"We study optimal covariate balance for causal inferences from observational data when rich covariates and complex relationships necessitate flexible modeling with neural networks. Standard approaches such as propensity weighting and matching/balancing fail in such settings due to miscalibrated propensity nets and inappropriate covariate representations, respectively. We propose a new method based on adversarial training of a weighting and a discriminator network that effectively addresses this methodological gap. This is demonstrated through new theoretical characterizations and empirical results on both synthetic and clinical data showing how causal analyses can be salvaged in such challenging settings."
"Entropy Minimization In Emergent Languages"	"Eugene Kharitonov, Rahma Chaabouni, Diane Bouchacourt, Marco Baroni"	"http://proceedings.mlr.press/v119/kharitonov20a/kharitonov20a.pdf"	"http://proceedings.mlr.press/v119/kharitonov20a/kharitonov20a-supp.pdf"	"https://github.com/facebookresearch/EGG/tree/master/egg/zoo/language_bottleneck"	"There is growing interest in studying the languages that emerge when neural agents are jointly trained to solve tasks requiring communication through a discrete channel. We investigate here the information-theoretic complexity of such languages, focusing on the basic two-agent, one-exchange setup. We find that, under common training procedures, the emergent languages are subject to an entropy minimization pressure that has also been detected in human language, whereby the mutual information between the communicating agent’s inputs and the messages is minimized, within the range afforded by the need for successful communication. That is, emergent languages are (nearly) as simple as the task they are developed for allow them to be. This pressure is amplified as we increase communication channel discreteness. Further, we observe that stronger discrete-channel-driven entropy minimization leads to representations with increased robustness to overfitting and adversarial attacks. We conclude by discussing the implications of our findings for the study of natural and artificial communication systems."
"Puzzle Mix: Exploiting Saliency and Local Statistics for Optimal Mixup"	"Jang-Hyun Kim, Wonho Choo, Hyun Oh Song"	"http://proceedings.mlr.press/v119/kim20b/kim20b.pdf"	"http://proceedings.mlr.press/v119/kim20b/kim20b-supp.pdf"	"https://github.com/snu-mllab/PuzzleMix"	"While deep neural networks achieve great performance on fitting the training distribution, the learned networks are prone to overfitting and are susceptible to adversarial attacks. In this regard, a number of mixup based augmentation methods have been recently proposed. However, these approaches mainly focus on creating previously unseen virtual examples and can sometimes provide misleading supervisory signal to the network. To this end, we propose Puzzle Mix, a mixup method for explicitly utilizing the saliency information and the underlying statistics of the natural examples. This leads to an interesting optimization problem alternating between the multi-label objective for optimal mixing mask and saliency discounted optimal transport objective. Our experiments show Puzzle Mix achieves the state of the art generalization and the adversarial robustness results compared to other mixup methods on CIFAR-100, Tiny-ImageNet, and ImageNet datasets, and the source code is available at https://github.com/snu-mllab/PuzzleMix."
"Robust and Stable Black Box Explanations"	"Himabindu Lakkaraju, Nino Arsov, Osbert Bastani"	"http://proceedings.mlr.press/v119/lakkaraju20a/lakkaraju20a.pdf"	"http://proceedings.mlr.press/v119/lakkaraju20a/lakkaraju20a-supp.pdf"	"https://github.com/lvhimabindu/robust-stable-explanations"	"As machine learning black boxes are increasingly being deployed in real-world applications, there has been a growing interest in developing post hoc explanations that summarize the behaviors of these black boxes. However, existing algorithms for generating such explanations have been shown to lack stability and robustness to distribution shifts. We propose a novel framework for generating robust and stable explanations of black box models based on adversarial training. Our framework optimizes a minimax objective that aims to construct the highest fidelity explanation with respect to the worst-case over a set of adversarial perturbations. We instantiate this algorithm for explanations in the form of linear models and decision sets by devising the required optimization procedures. To the best of our knowledge, this work makes the first attempt at generating post hoc explanations that are robust to a general class of adversarial perturbations that are of practical interest. Experimental evaluation with real-world and synthetic datasets demonstrates that our approach substantially improves robustness of explanations without sacrificing their fidelity on the original data distribution."
"Implicit Euler Skip Connections: Enhancing Adversarial Robustness via Numerical Stability"	"Mingjie Li, Lingshen He, Zhouchen Lin"	"http://proceedings.mlr.press/v119/li20e/li20e.pdf"	"http://proceedings.mlr.press/v119/li20e/li20e-supp.pdf"	"https://github.com/homles11/IE-Skips"	"Deep neural networks have achieved great success in various areas, but recent works have found that neural networks are vulnerable to adversarial attacks, which leads to a hot topic nowadays. Although many approaches have been proposed to enhance the robustness of neural networks, few of them explored robust architectures for neural networks. On this account, we try to address such an issue from the perspective of dynamic system in this work. By viewing ResNet as an explicit Euler discretization of an ordinary differential equation (ODE), for the first time, we find that the adversarial robustness of ResNet is connected to the numerical stability of the corresponding dynamic system, i.e., more stable numerical schemes may correspond to more robust deep networks. Furthermore, inspired by the implicit Euler method for solving numerical ODE problems, we propose Implicit Euler skip connections (IE-Skips) by modifying the original skip connection in ResNet or its variants. Then we theoretically prove its advantages under the adversarial attack and the experimental results show that our ResNet with IE-Skips can largely improve the robustness and the generalization ability under adversarial attacks when compared with the vanilla ResNet of the same parameter size."
"Hierarchical Verification for Adversarial Robustness"	"Cong Han Lim, Raquel Urtasun, Ersin Yumer"	"http://proceedings.mlr.press/v119/lim20b/lim20b.pdf"	"http://proceedings.mlr.press/v119/lim20b/lim20b-supp.pdf"	"--"	"We introduce a new framework for the exact point-wise ℓp robustness verification problem that exploits the layer-wise geometric structure of deep feed-forward networks with rectified linear activations (ReLU networks). The activation regions of the network partition the input space, and one can verify the ℓp robustness around a point by checking all the activation regions within the desired radius. The GeoCert algorithm (Jordan et al., NeurIPS 2019) treats this partition as a generic polyhedral complex in order to detect which region to check next. In contrast, our LayerCert framework considers the nested hyperplane arrangement structure induced by the layers of the ReLU network and explores regions in a hierarchical manner. We show that, under certain conditions on the algorithm parameters, LayerCert provably reduces the number and size of the convex programs that one needs to solve compared to GeoCert. Furthermore, our LayerCert framework allows the incorporation of lower bounding routines based on convex relaxations to further improve performance. Experimental results demonstrate that LayerCert can significantly reduce both the number of convex programs solved and the running time over the state-of-the-art."
"Adversarial Nonnegative Matrix Factorization"	"Lei Luo, Yanfu Zhang, Heng Huang"	"http://proceedings.mlr.press/v119/luo20c/luo20c.pdf"	"http://proceedings.mlr.press/v119/luo20c/luo20c-supp.pdf"	"--"	"Nonnegative Matrix Factorization (NMF) has become an increasingly important research topic in machine learning. Despite all the practical success, most of existing NMF models are still vulnerable to adversarial attacks. To overcome this limitation, we propose a novel Adversarial NMF (ANMF) approach in which an adversary can exercise some control over the perturbed data generation process. Different from the traditional NMF models which focus on either the regular input or certain types of noise, our model considers potential test adversaries that are beyond the pre-defined constraints, which can cope with various noises (or perturbations). We formulate the proposed model as a bilevel optimization problem and use Alternating Direction Method of Multipliers (ADMM) to solve it with convergence analysis. Theoretically, the robustness analysis of ANMF is established under mild conditions dedicating asymptotically unbiased prediction. Extensive experiments verify that ANMF is robust to a broad categories of perturbations, and achieves state-of-the-art performances on distinct real-world benchmark datasets."
"Adversarial Neural Pruning with Latent Vulnerability Suppression"	"Divyam Madaan, Jinwoo Shin, Sung Ju Hwang"	"http://proceedings.mlr.press/v119/madaan20a/madaan20a.pdf"	"http://proceedings.mlr.press/v119/madaan20a/madaan20a-supp.pdf"	"https://github.com/divyam3897/ANP_VS"	"Despite the remarkable performance of deep neural networks on various computer vision tasks, they are known to be susceptible to adversarial perturbations, which makes it challenging to deploy them in real-world safety-critical applications. In this paper, we conjecture that the leading cause of adversarial vulnerability is the distortion in the latent feature space, and provide methods to suppress them effectively. Explicitly, we define \emph{vulnerability} for each latent feature and then propose a new loss for adversarial learning, \emph{Vulnerability Suppression (VS)} loss, that aims to minimize the feature-level vulnerability during training. We further propose a Bayesian framework to prune features with high vulnerability to reduce both vulnerability and loss on adversarial samples. We validate our \emph{Adversarial Neural Pruning with Vulnerability Suppression (ANP-VS)} method on multiple benchmark datasets, on which it not only obtains state-of-the-art adversarial robustness but also improves the performance on clean examples, using only a fraction of the parameters used by the full network. Further qualitative analysis suggests that the improvements come from the suppression of feature-level vulnerability."
"Adversarial Robustness Against the Union of Multiple Perturbation Models"	"Pratyush Maini, Eric Wong, Zico Kolter"	"http://proceedings.mlr.press/v119/maini20a/maini20a.pdf"	"http://proceedings.mlr.press/v119/maini20a/maini20a-supp.pdf"	"https://github.com/locuslab/robust_union/"	"Owing to the susceptibility of deep learning systems to adversarial attacks, there has been a great deal of work in developing (both empirically and certifiably) robust classifiers. While most work has defended against a single type of attack, recent work has looked at defending against multiple perturbation models using simple aggregations of multiple attacks. However, these methods can be difficult to tune, and can easily result in imbalanced degrees of robustness to individual perturbation models, resulting in a sub-optimal worst-case loss over the union. In this work, we develop a natural generalization of the standard PGD-based procedure to incorporate multiple perturbation models into a single attack, by taking the worst-case over all steepest descent directions. This approach has the advantage of directly converging upon a trade-off between different perturbation models which minimizes the worst-case performance over the union. With this approach, we are able to train standard architectures which are simultaneously robust against $\ell_\infty$, $\ell_2$, and $\ell_1$ attacks, outperforming past approaches on the MNIST and CIFAR10 datasets and achieving adversarial accuracy of 47.0% against the union of ($\ell_\infty$, $\ell_2$, $\ell_1$) perturbations with radius = (0.03, 0.5, 12) on the latter, improving upon previous approaches which achieve 40.6% accuracy."
